CollectionDate,Farm,BeeID,WingSIze,Count,Log1P(Count),FlowerID2,Log1P(SunArea),Sun Area,Log1P(FarmArea),FarmArea,CutFlowerArea,TomatoArea,InfectionPresence
208,SUN,1,2.405,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,2,2.925,0,0,SUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,3,2.925,103,2.017033339,SUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,4,2.535,0,0,SUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,5,3.185,92,1.968482949,SUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,6,1.95,0,0,SUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,7,2.535,219,2.342422681,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,8,2.73,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,9,2.795,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,10,2.405,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,11,2.34,265,2.424881637,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,12,2.925,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,13,3.055,17,1.255272505,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,14,2.99,39,1.602059991,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,15,2.86,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,16,2.47,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,17,2.73,3,0.602059991,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,YES
208,SUN,18,2.47,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,19,2.6,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
208,SUN,20,2.275,0,0,NONSUN,1.838345269,67.92,4.518875307,33026.47,5659.880504,855.5151,NO
209,CAC,21,2.015,174,2.243038049,SUN,1.634225286,42.075,5.485735236,306008.73,NA,NA,YES
209,CAC,22,2.99,134,2.130333768,NONSUN,1.634225286,42.075,5.485735236,306008.73,NA,NA,YES
